Average,,,,E0,E1,Analog,,,,,,,,,,,
Index [1],exx [1] - engr.,eyy [1] - engr.,exy [1] - engr.,ΔL/L0 [0] Extensometer x-strain,ΔL/L0 [1] Extensometer y-strain,Time_0,Disp_mm,Load_N,Area,,Strain,Stress,,Possion,,,
63,0.000504516,-0.00218125,-0.000566934,-0.00183411,0.000726568,63.0056,-0.1238,-11994.1,,,0.00218125,221.5795308,,2.31E-01,,0.292659929,
64,0.000554748,-0.00215716,-0.000481202,-0.001877,0.000702891,64.0015,-0.1258,-12267.9,,,0.00215716,226.637724,,2.57E-01,,0.259516196,
65,0.000540451,-0.00217854,-0.000339388,-0.00179519,0.000641423,65.0052,-0.128,-12509.5,,,0.00217854,231.101053,,2.48E-01,,0.231058166,
66,0.00051212,-0.00219993,-0.000490722,-0.00190099,0.000704902,66.0066,-0.13,-12789.7,,,0.00219993,236.2774801,,2.33E-01,,0.270979826,
67,0.000517561,-0.00227889,-0.000407243,-0.00194706,0.000719065,67.0038,-0.1322,-13044.1,,,0.00227889,240.9772769,,2.27E-01,,0.296830577,
68,0.000540633,-0.00227936,-0.00048604,-0.00200329,0.000725541,68.0054,-0.1345,-13298.6,,,0.00227936,245.6789211,,2.37E-01,,0.249276423,
69,0.000601952,-0.00238926,-0.000544883,-0.00207336,0.000754569,69.0054,-0.1364,-13565.9,,,0.00238926,250.6170331,,2.52E-01,,0.247226951,
70,0.000586838,-0.00234355,-0.000473193,-0.00200165,0.000713887,70.0038,-0.1385,-13842.9,,,0.00234355,255.7343432,,2.50E-01,,0.282601822,
71,0.000542692,-0.00235903,-0.000528658,-0.00208955,0.000705505,71.0046,-0.1407,-14126.3,,,0.00235903,260.9698873,,2.30E-01,,0.26637284,
72,0.000515205,-0.00241126,-0.000507924,-0.00215328,0.000755513,72.0041,-0.1428,-14380.7,,,0.00241126,265.6696841,,2.14E-01,,0.256122314,
73,0.000633629,-0.00244484,-0.000521461,-0.00212487,0.000788825,73.0024,-0.1448,-14673.8,,,0.00244484,271.0844264,,2.59E-01,,0.249021296,
74,0.000663938,-0.0024697,-0.000451113,-0.00214053,0.000850033,74.0036,-0.1471,-14947.6,,,0.0024697,276.1426196,,2.69E-01,,0.284086545,
75,0.000553582,-0.00250527,-0.000555724,-0.00215335,0.000825571,75.0052,-0.149,-15192.4,,,0.00250527,280.6650656,,2.21E-01,,0.23263451,
76,0.000662144,-0.00248046,-0.000570043,-0.00217618,0.00078973,76.0034,-0.1513,-15508,,,0.00248046,286.4954739,,2.67E-01,,0.2674259,
77,0.000686412,-0.00254656,-0.000536662,-0.00228249,0.000865032,77.0036,-0.1534,-15759.2,,,0.00254656,291.1361537,,2.70E-01,,0.259328318,
78,0.000620565,-0.00256969,-0.000647102,-0.00229286,0.000821301,78.0055,-0.1554,-16026.5,,,0.00256969,296.0742657,,2.41E-01,,0.257266523,
79,0.000755765,-0.0025824,-0.000424325,-0.00233878,0.000889069,79.0049,-0.1575,-16303.5,,,0.0025824,301.1915758,,2.93E-01,,0.272095494,
80,0.000686602,-0.0026457,-0.000516267,-0.00240687,0.000852911,80.0055,-0.1596,-16583.7,,,0.0026457,306.368003,,2.60E-01,,0.263466659,
81,0.000627755,-0.00271687,-0.000562795,-0.00242932,0.000842923,81.0042,-0.1616,-16847.8,,,0.00271687,311.246998,,2.31E-01,,0.259391553,
82,0.000701686,-0.00258944,-0.000545429,-0.00230653,0.00084414,82.005,-0.1638,-17140.9,,,0.00258944,316.6617403,,2.71E-01,,0.261457616,
83,0.000809549,-0.00272731,-0.000532275,-0.0024404,0.000896322,83.0042,-0.166,-17395.4,,,0.00272731,321.3633844,,2.97E-01,,0.248075356,
84,0.000701414,-0.0028138,-0.000579113,-0.00249161,0.000919728,84.0054,-0.168,-17678.8,,,0.0028138,326.5989285,,2.49E-01,,0.31467527,
85,0.000694238,-0.0028081,-0.000602299,-0.00252697,0.000937368,84.9989,-0.1702,-17946.1,,,0.0028081,331.5370405,,2.47E-01,,0.253912526,
86,0.000798986,-0.00282725,-0.000497524,-0.00256662,0.000943616,86.0026,-0.1723,-18252.1,,,0.00282725,337.1900979,,2.83E-01,,0.254871316,
87,0.000767255,-0.00288038,-0.000572243,-0.00260039,0.000925364,87.0033,-0.1744,-18503.3,,,0.00288038,341.8307778,,2.66E-01,,0.264205321,
