Experiment:,25C,,,,,,,,,,,,,,New3D,,New2D,,,1.94E-01,9811.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (s),Depth (nm),Load (uN),,hm (nm),F (uN),hm1 (um),hm1 (nm),F1 (uN),F (exp),disp_y_2D,react_y_2D,disp_y_3D,react_y_3D,,h3D,F3D,h2D,F2D,,Depth1,Force1,Depth2,Force2,Depth,Force,,Depth0 (nm),Load0 (uN),Depth2 (nm),Load2 (uN),Depth3 (nm),Load3 (uN),Depth4 (nm),Load4 (uN),Depth5 (nm),Load5 (uN),Depth6 (nm),Load6 (uN),Depth7 (nm),Load7 (uN),Depth8 (nm),Load8 (uN),Depth9 (nm),Load9 (uN),Depth10 (nm),Load10 (uN),Depth11 (nm),Load11 (uN),Depth12 (nm),Load12 (uN),Depth13 (nm),Load13 (uN),Depth14 (nm),Load14 (uN),Depth15 (nm),Load15 (uN),Depth16 (nm),Load16 (uN),Depth17 (nm),Load17 (uN),Depth18 (nm),Load18 (uN),Depth19 (nm),Load19 (uN),Depth20 (nm),Load20 (uN),Depth21 (nm),Load21 (uN),Depth22 (nm),Load22 (uN),Depth23 (nm),Load23 (uN),Depth24 (nm),Load24 (uN)
4.18135,4.721698,38.411804,,17.197,121.2,1.75E-02,1.75E+01,128.61,213.352183,-0.0452,-0.511353098,-0.0452,-0.079461245,,-4.66E-02,6.88E+02,,,,3.99E-02,505.5,4.28E-02,636.1,4.28E-02,439.57,,4.335154,34.979459,4.313127,39.163252,5.154789,38.441313,4.519345,39.470091,4.085187,39.80882,4.499318,38.103461,3.808423,37.858669,3.604404,39.122167,3.617914,39.696763,3.903366,38.794615,3.03875,40.403169,3.484909,39.768762,3.260362,40.513196,3.904775,39.22409,3.399879,38.783299,4.186069,38.962278,4.35796,38.405442,4.459161,37.524163,4.539863,37.10448,3.87495,39.759177,4.616812,37.219715,4.108715,37.441018,3.551126,38.650885,3.264118,40.01701
4.186355,5.036773,42.181944,,19.891,158.1,2.01E-02,2.01E+01,158.2,259.018955,-0.04746,-0.557125536,-0.04746,-0.088006916,,-4.88E-02,740.31,,,,4.19E-02,551.05,4.48E-02,690.87,4.48E-02,483.92,,4.641406,38.830921,4.69032,42.812668,5.465288,42.114816,4.89358,43.091471,4.602474,43.400323,4.969477,41.764707,4.362531,41.503967,3.689084,42.797459,3.405504,43.409257,4.727478,42.363748,3.697727,43.953722,3.565062,43.441353,3.42884,44.136696,4.247052,42.868743,3.652899,42.454852,4.611834,42.618669,4.871126,42.092911,5.20962,41.175248,5.386074,40.729353,3.777701,43.461436,4.558545,40.994312,4.533538,41.134737,4.155391,42.273341,3.381346,43.685349
4.19136,5.221079,46.141642,,22.461,195.23,2.27E-02,2.27E+01,189.29,309.041442,-0.04972,-0.601153066,-0.04972,-0.095335617,,-5.11E-02,791.85,,,,4.38E-02,596.25,4.69E-02,746,4.69E-02,529.69,,4.766879,42.87855,4.965497,46.653915,5.824576,45.943683,5.082822,46.919811,4.824157,47.205828,5.228907,45.62681,4.791128,45.345915,4.283947,46.555784,3.921636,47.16592,4.550244,46.275985,3.800148,47.760335,3.972698,47.222676,3.798348,47.898998,4.686913,46.658482,3.857458,46.309354,4.97733,46.450172,4.617865,46.07859,5.486065,45.088173,5.456043,44.662472,4.674301,47.166191,5.063681,44.84513,4.829015,45.023199,4.163446,46.175031,3.822484,47.468198
4.196365,5.617317,50.22762,,25.148,231.98,2.53E-02,2.53E+01,222.16,368.465486,-0.05198,-0.647400535,-0.05198,-0.10269796,,-5.33E-02,846.51,,,,4.57E-02,641.95,4.90E-02,804.64,4.90E-02,577.65,,5.089948,47.052615,5.143686,50.669222,6.333423,49.920076,5.489022,50.873379,4.945906,51.195398,5.772435,49.611557,4.854182,49.412585,4.585296,50.53243,4.243596,51.115444,4.993291,50.248788,4.249357,51.678878,4.34456,51.170117,4.187054,51.815423,4.948719,50.647903,4.240104,50.292135,5.162794,50.473466,5.389444,50.052323,5.269694,49.240834,5.661073,48.735374,4.333607,51.242701,5.375603,48.892131,4.917168,49.111035,4.709172,50.143955,3.899699,51.472915
4.20137,5.898774,54.490285,,27.922,268.39,2.80E-02,2.80E+01,256.88,421.389371,-0.05424,-0.696463737,-0.05424,-0.110870804,,-5.55E-02,897.45,,,,4.76E-02,693.3,5.11E-02,861.4,5.10E-02,623.96,,5.440848,51.377405,5.654592,54.794274,6.668725,54.081378,6.250667,54.928908,5.282657,55.30839,6.3864,53.748247,5.294264,53.577478,4.764053,54.689426,4.437843,55.255017,5.419155,54.37926,4.365168,55.811963,4.327773,55.355304,4.339236,55.942403,4.98281,54.835873,4.550047,54.451261,5.358703,54.66047,5.336046,54.32133,6.132329,53.371572,6.432296,52.874265,5.008636,55.309791,5.273129,53.175255,5.659831,53.248397,4.698975,54.367352,4.561968,55.543098
4.206374,6.302856,58.890511,,30.46,311.15,3.06E-02,3.06E+01,293.76,489.335907,-0.0565,-0.743986696,-0.0565,-0.1185326,,-5.77E-02,951.1,,,,4.96E-02,743.87,5.31E-02,924.22,5.31E-02,676.46,,5.519208,55.876147,6.111768,59.083325,6.995273,58.402487,6.314906,59.265104,6.040504,59.512436,6.372423,58.143135,5.843555,57.883665,5.334709,58.939678,4.937227,59.498985,5.617226,58.717224,4.442635,60.108322,4.9599,59.576747,4.748371,60.180144,5.225896,59.141786,4.759917,58.783434,5.62192,58.989347,6.178301,58.604642,5.912857,57.845862,6.353209,57.318602,5.115622,59.625913,5.991664,57.463138,5.396248,57.716992,5.049946,58.691662,4.399188,59.910984
4.211379,6.468713,63.472114,,32.925,356.74,3.32E-02,3.32E+01,333.35,551.445434,-0.05876,-0.80079412,-0.05876,-0.127376336,,-5.99E-02,1006.4,,,,5.15E-02,799.02,5.52E-02,987.09,5.51E-02,729.08,,5.971897,60.448618,6.308568,63.574572,7.330225,62.886581,6.580763,63.721341,6.432911,63.935357,6.638288,62.649156,6.115033,62.391238,5.285634,63.451139,4.893964,63.988916,6.212077,63.137815,5.087091,64.469604,5.242095,64.024674,5.153643,64.573716,5.800692,63.555113,5.05682,63.255826,6.133817,63.437115,6.268515,63.165524,6.442579,62.342039,6.94443,61.80035,5.574378,64.044701,6.072125,62.028674,6.410612,62.122031,5.54616,63.140493,5.157984,64.277675
4.216384,6.944236,68.127222,,35.302,403.25,3.58E-02,3.58E+01,374.97,602.820952,-0.06102,-0.853954957,-0.06102,-0.138138928,,-6.22E-02,1.06E+03,,,,5.34E-02,852.39,5.73E-02,1055.4,5.72E-02,786.76,,6.376721,65.156757,6.655637,68.172008,7.815896,67.474836,7.271852,68.241743,6.514769,68.543134,7.230428,67.233735,6.379934,67.042306,5.59059,68.037239,5.44236,68.511194,6.154894,67.800338,4.98638,69.079861,5.405367,68.620688,5.368542,69.130562,6.346296,68.101655,5.349603,67.869956,6.504144,68.034783,6.748854,67.787181,7.078898,66.961947,7.515829,66.429357,5.796104,68.631612,6.608275,66.652838,6.240325,66.864729,5.689793,67.793404,5.071177,68.915247
4.221389,7.407224,72.911516,,37.672,449.51,3.84E-02,3.84E+01,418.79,674.630444,-0.06328,-0.911232716,-0.06328,-0.147732027,,-6.44E-02,1119.3,,,,5.54E-02,909.12,5.93E-02,1122,5.93E-02,842.46,,6.622394,70.017398,7.094492,72.884775,8.389318,72.18791,7.60791,72.955873,7.005062,73.216726,7.706128,71.972198,6.926997,71.776578,6.142506,72.714943,5.838881,73.199503,6.657563,72.510245,5.549062,73.720034,5.791194,73.310639,5.749655,73.790383,6.750579,72.810502,5.741391,72.59186,6.784674,72.781072,6.913649,72.595477,6.840062,71.853107,7.446203,71.297131,6.249412,73.3112,6.736727,71.475622,6.78532,71.619782,6.265524,72.491944,5.576346,73.583731
4.226394,7.492158,77.883847,,40.035,494.86,4.10E-02,4.10E+01,464.64,751.195806,-0.06554,-0.968628173,-0.06554,-0.157338942,,-6.66E-02,1183.7,,,,5.73E-02,968.58,6.14E-02,1191.1,6.14E-02,900.84,,6.816289,74.999486,7.481545,77.730579,8.870876,77.036756,7.832979,77.810641,7.327764,78.040502,8.039653,76.864675,7.180348,76.677726,6.226523,77.594866,5.948622,78.058122,7.129309,77.341019,6.001541,78.500005,6.206661,78.12474,6.372338,78.543048,6.667761,77.724515,6.049092,77.458093,7.138721,77.645366,7.095368,77.521174,7.628799,76.696469,8.287696,76.13068,6.762113,78.113029,7.157963,76.37464,6.895508,76.567962,6.238305,77.425925,5.721873,78.437159
